,id,atlas_id,name,acronym,st_level,ontology_id,hemisphere_id,weight,parent_structure_id,depth,graph_id,graph_order,structure_id_path,color_hex_triplet,neuro_name_structure_id,neuro_name_structure_id_path,failed,sphinx_id,structure_name_facet,failed_facet,safe_name
60,480149210,,Rostrolateral lateral visual area layer 2/3,VISrll2/3,,1,3,8690,480149202.0,10,1,60,/997/8/567/688/695/315/453/322/329/480149202/480149210/,188064,,,f,61,3038984448,734881840,Rostrolateral lateral visual area layer 2/3
61,480149214,,Rostrolateral lateral visual area layer 4,VISrll4,,1,3,8690,480149202.0,10,1,61,/997/8/567/688/695/315/453/322/329/480149202/480149214/,188064,,,f,62,3284140391,734881840,Rostrolateral lateral visual area layer 4
62,480149218,,Rostrolateral lateral visual arealayer 5,VISrll5,,1,3,8690,480149202.0,10,1,62,/997/8/567/688/695/315/453/322/329/480149202/480149218/,188064,,,f,63,1253499024,734881840,Rostrolateral lateral visual arealayer 5
63,480149222,,Rostrolateral lateral visual area layer 6a,VISrll6a,,1,3,8690,480149202.0,10,1,63,/997/8/567/688/695/315/453/322/329/480149202/480149222/,188064,,,f,64,160753723,734881840,Rostrolateral lateral visual area layer 6a
64,480149226,,Rostrolateral lateral visual area layer 6b,VISrll6b,,1,3,8690,480149202.0,10,1,64,/997/8/567/688/695/315/453/322/329/480149202/480149226/,188064,,,f,65,2426255745,734881840,Rostrolateral lateral visual area layer 6b
65,337,749.0,Primary somatosensory area lower limb,SSp-ll,,1,3,8690,322.0,8,1,65,/997/8/567/688/695/315/453/322/337/,188064,,,f,66,533428449,734881840,Primary somatosensory area lower limb
66,1030,977.0,Primary somatosensory area lower limb layer 1,SSp-ll1,,1,3,8690,337.0,9,1,66,/997/8/567/688/695/315/453/322/337/1030/,188064,,,f,67,1906118639,734881840,Primary somatosensory area lower limb layer 1
67,113,1004.0,Primary somatosensory area lower limb layer 2/3,SSp-ll2/3,,1,3,8690,337.0,9,1,67,/997/8/567/688/695/315/453/322/337/113/,188064,,,f,68,2802480882,734881840,Primary somatosensory area lower limb layer 2/3
68,1094,985.0,Primary somatosensory area lower limb layer 4,SSp-ll4,,1,3,8690,337.0,9,1,68,/997/8/567/688/695/315/453/322/337/1094/,188064,,,f,69,33028960,734881840,Primary somatosensory area lower limb layer 4
69,1128,989.0,Primary somatosensory area lower limb layer 5,SSp-ll5,,1,3,8690,337.0,9,1,69,/997/8/567/688/695/315/453/322/337/1128/,188064,,,f,70,1995492342,734881840,Primary somatosensory area lower limb layer 5
70,478,625.0,Primary somatosensory area lower limb layer 6a,SSp-ll6a,,1,3,8690,337.0,9,1,70,/997/8/567/688/695/315/453/322/337/478/,188064,,,f,71,2536655458,734881840,Primary somatosensory area lower limb layer 6a
71,510,629.0,Primary somatosensory area lower limb layer 6b,SSp-ll6b,,1,3,8690,337.0,9,1,71,/997/8/567/688/695/315/453/322/337/510/,188064,,,f,72,238754776,734881840,Primary somatosensory area lower limb layer 6b
72,345,750.0,Primary somatosensory area mouth,SSp-m,,1,3,8690,322.0,8,1,72,/997/8/567/688/695/315/453/322/345/,188064,,,f,73,2638278704,734881840,Primary somatosensory area mouth
73,878,958.0,Primary somatosensory area mouth layer 1,SSp-m1,,1,3,8690,345.0,9,1,73,/997/8/567/688/695/315/453/322/345/878/,188064,,,f,74,3213023761,734881840,Primary somatosensory area mouth layer 1
74,657,1072.0,Primary somatosensory area mouth layer 2/3,SSp-m2/3,,1,3,8690,345.0,9,1,74,/997/8/567/688/695/315/453/322/345/657/,188064,,,f,75,3683406469,734881840,Primary somatosensory area mouth layer 2/3
75,950,967.0,Primary somatosensory area mouth layer 4,SSp-m4,,1,3,8690,345.0,9,1,75,/997/8/567/688/695/315/453/322/345/950/,188064,,,f,76,3488099998,734881840,Primary somatosensory area mouth layer 4
76,974,970.0,Primary somatosensory area mouth layer 5,SSp-m5,,1,3,8690,345.0,9,1,76,/997/8/567/688/695/315/453/322/345/974/,188064,,,f,77,3102678536,734881840,Primary somatosensory area mouth layer 5
77,1102,986.0,Primary somatosensory area mouth layer 6a,SSp-m6a,,1,3,8690,345.0,9,1,77,/997/8/567/688/695/315/453/322/345/1102/,188064,,,f,78,3455683244,734881840,Primary somatosensory area mouth layer 6a
78,2,990.0,Primary somatosensory area mouth layer 6b,SSp-m6b,,1,3,8690,345.0,9,1,78,/997/8/567/688/695/315/453/322/345/2/,188064,,,f,79,1425070870,734881840,Primary somatosensory area mouth layer 6b
79,369,753.0,Primary somatosensory area upper limb,SSp-ul,,1,3,8690,322.0,8,1,79,/997/8/567/688/695/315/453/322/369/,188064,,,f,80,3184285306,734881840,Primary somatosensory area upper limb
80,450,1046.0,Primary somatosensory area upper limb layer 1,SSp-ul1,,1,3,8690,369.0,9,1,80,/997/8/567/688/695/315/453/322/369/450/,188064,,,f,81,2333546951,734881840,Primary somatosensory area upper limb layer 1
81,854,955.0,Primary somatosensory area upper limb layer 2/3,SSp-ul2/3,,1,3,8690,369.0,9,1,81,/997/8/567/688/695/315/453/322/369/854/,188064,,,f,82,243505027,734881840,Primary somatosensory area upper limb layer 2/3
82,577,1062.0,Primary somatosensory area upper limb layer 4,SSp-ul4,,1,3,8690,369.0,9,1,82,/997/8/567/688/695/315/453/322/369/577/,188064,,,f,83,4219333960,734881840,Primary somatosensory area upper limb layer 4
83,625,1068.0,Primary somatosensory area upper limb layer 5,SSp-ul5,,1,3,8690,369.0,9,1,83,/997/8/567/688/695/315/453/322/369/625/,188064,,,f,84,2356862430,734881840,Primary somatosensory area upper limb layer 5
84,945,1108.0,Primary somatosensory area upper limb layer 6a,SSp-ul6a,,1,3,8690,369.0,9,1,84,/997/8/567/688/695/315/453/322/369/945/,188064,,,f,85,2726127758,734881840,Primary somatosensory area upper limb layer 6a
85,1026,1118.0,Primary somatosensory area upper limb layer 6b,SSp-ul6b,,1,3,8690,369.0,9,1,85,/997/8/567/688/695/315/453/322/369/1026/,188064,,,f,86,997472564,734881840,Primary somatosensory area upper limb layer 6b
86,361,752.0,Primary somatosensory area trunk,SSp-tr,,1,3,8690,322.0,8,1,86,/997/8/567/688/695/315/453/322/361/,188064,,,f,87,2078745056,734881840,Primary somatosensory area trunk
87,1006,974.0,Primary somatosensory area trunk layer 1,SSp-tr1,,1,3,8690,361.0,9,1,87,/997/8/567/688/695/315/453/322/361/1006/,188064,,,f,88,396802005,734881840,Primary somatosensory area trunk layer 1
88,670,649.0,Primary somatosensory area trunk layer 2/3,SSp-tr2/3,,1,3,8690,361.0,9,1,88,/997/8/567/688/695/315/453/322/361/670/,188064,,,f,89,1192883470,734881840,Primary somatosensory area trunk layer 2/3
89,1086,984.0,Primary somatosensory area trunk layer 4,SSp-tr4,,1,3,8690,361.0,9,1,89,/997/8/567/688/695/315/453/322/361/1086/,188064,,,f,90,1741439834,734881840,Primary somatosensory area trunk layer 4
90,1111,987.0,Primary somatosensory area trunk layer 5,SSp-tr5,,1,3,8690,361.0,9,1,90,/997/8/567/688/695/315/453/322/361/1111/,188064,,,f,91,281768908,734881840,Primary somatosensory area trunk layer 5
91,9,991.0,Primary somatosensory area trunk layer 6a,SSp-tr6a,,1,3,8690,361.0,9,1,91,/997/8/567/688/695/315/453/322/361/9/,188064,,,f,92,1364764776,734881840,Primary somatosensory area trunk layer 6a
92,461,623.0,Primary somatosensory area trunk layer 6b,SSp-tr6b,,1,3,8690,361.0,9,1,92,/997/8/567/688/695/315/453/322/361/461/,188064,,,f,93,3360815570,734881840,Primary somatosensory area trunk layer 6b
93,182305689,,Primary somatosensory area unassigned,SSp-un,,1,3,8690,322.0,8,1,93,/997/8/567/688/695/315/453/322/182305689/,188064,,,f,94,10092796,734881840,Primary somatosensory area unassigned
94,182305693,,Primary somatosensory area unassigned layer 1,SSp-un1,,1,3,8690,182305689.0,9,1,94,/997/8/567/688/695/315/453/322/182305689/182305693/,188064,,,f,95,1824943704,734881840,Primary somatosensory area unassigned layer 1
95,182305697,,Primary somatosensory area unassigned layer 2/3,SSp-un2/3,,1,3,8690,182305689.0,9,1,95,/997/8/567/688/695/315/453/322/182305689/182305697/,188064,,,f,96,909836824,734881840,Primary somatosensory area unassigned layer 2/3
96,182305701,,Primary somatosensory area unassigned layer 4,SSp-un4,,1,3,8690,182305689.0,9,1,96,/997/8/567/688/695/315/453/322/182305689/182305701/,188064,,,f,97,481073879,734881840,Primary somatosensory area unassigned layer 4
97,182305705,,Primary somatosensory area unassigned layer 5,SSp-un5,,1,3,8690,182305689.0,9,1,97,/997/8/567/688/695/315/453/322/182305689/182305705/,188064,,,f,98,1806412353,734881840,Primary somatosensory area unassigned layer 5
98,182305709,,Primary somatosensory area unassigned layer 6a,SSp-un6a,,1,3,8690,182305689.0,9,1,98,/997/8/567/688/695/315/453/322/182305689/182305709/,188064,,,f,99,3257546540,734881840,Primary somatosensory area unassigned layer 6a
99,182305713,,Primary somatosensory area unassigned layer 6b,SSp-un6b,,1,3,8690,182305689.0,9,1,99,/997/8/567/688/695/315/453/322/182305689/182305713/,188064,,,f,100,1529046678,734881840,Primary somatosensory area unassigned layer 6b
100,378,754.0,Supplemental somatosensory area,SSs,,1,3,8690,453.0,7,1,100,/997/8/567/688/695/315/453/378/,188064,,,f,101,713142416,734881840,Supplemental somatosensory area
101,873,1099.0,Supplemental somatosensory area layer 1,SSs1,,1,3,8690,378.0,8,1,101,/997/8/567/688/695/315/453/378/873/,188064,,,f,102,697782769,734881840,Supplemental somatosensory area layer 1
102,806,949.0,Supplemental somatosensory area layer 2/3,SSs2/3,,1,3,8690,378.0,8,1,102,/997/8/567/688/695/315/453/378/806/,188064,,,f,103,4288179668,734881840,Supplemental somatosensory area layer 2/3
103,1035,1119.0,Supplemental somatosensory area layer 4,SSs4,,1,3,8690,378.0,8,1,103,/997/8/567/688/695/315/453/378/1035/,188064,,,f,104,1509795198,734881840,Supplemental somatosensory area layer 4
104,1090,1126.0,Supplemental somatosensory area layer 5,SSs5,,1,3,8690,378.0,8,1,104,/997/8/567/688/695/315/453/378/1090/,188064,,,f,105,788174312,734881840,Supplemental somatosensory area layer 5
105,862,956.0,Supplemental somatosensory area layer 6a,SSs6a,,1,3,8690,378.0,8,1,105,/997/8/567/688/695/315/453/378/862/,188064,,,f,106,1835367775,734881840,Supplemental somatosensory area layer 6a
106,893,960.0,Supplemental somatosensory area layer 6b,SSs6b,,1,3,8690,378.0,8,1,106,/997/8/567/688/695/315/453/378/893/,188064,,,f,107,4100730085,734881840,Supplemental somatosensory area layer 6b
107,1057,131.0,Gustatory areas,GU,,1,3,8690,315.0,6,1,107,/997/8/567/688/695/315/1057/,009C75,,,f,108,722362724,734881840,Gustatory areas
108,36,994.0,Gustatory areas layer 1,GU1,,1,3,8690,1057.0,7,1,108,/997/8/567/688/695/315/1057/36/,009C75,,,f,109,2374290445,734881840,Gustatory areas layer 1
109,180,729.0,Gustatory areas layer 2/3,GU2/3,,1,3,8690,1057.0,7,1,109,/997/8/567/688/695/315/1057/180/,009C75,,,f,110,3375335567,734881840,Gustatory areas layer 2/3
110,148,1008.0,Gustatory areas layer 4,GU4,,1,3,8690,1057.0,7,1,110,/997/8/567/688/695/315/1057/148/,009C75,,,f,111,4260247682,734881840,Gustatory areas layer 4
111,187,1013.0,Gustatory areas layer 5,GU5,,1,3,8690,1057.0,7,1,111,/997/8/567/688/695/315/1057/187/,009C75,,,f,112,2330527764,734881840,Gustatory areas layer 5
112,638,645.0,Gustatory areas layer 6a,GU6a,,1,3,8690,1057.0,7,1,112,/997/8/567/688/695/315/1057/638/,009C75,,,f,113,3653947637,734881840,Gustatory areas layer 6a
113,662,648.0,Gustatory areas layer 6b,GU6b,,1,3,8690,1057.0,7,1,113,/997/8/567/688/695/315/1057/662/,009C75,,,f,114,1086554447,734881840,Gustatory areas layer 6b
114,677,367.0,Visceral area,VISC,,1,3,8690,315.0,6,1,114,/997/8/567/688/695/315/677/,11AD83,,,f,115,3549914160,734881840,Visceral area
115,897,1102.0,Visceral area layer 1,VISC1,,1,3,8690,677.0,7,1,115,/997/8/567/688/695/315/677/897/,11AD83,,,f,116,1291666049,734881840,Visceral area layer 1
116,1106,1128.0,Visceral area layer 2/3,VISC2/3,,1,3,8690,677.0,7,1,116,/997/8/567/688/695/315/677/1106/,11AD83,,,f,117,1410936982,734881840,Visceral area layer 2/3
117,1010,1116.0,Visceral area layer 4,VISC4,,1,3,8690,677.0,7,1,117,/997/8/567/688/695/315/677/1010/,11AD83,,,f,118,1016575502,734881840,Visceral area layer 4
118,1058,1122.0,Visceral area layer 5,VISC5,,1,3,8690,677.0,7,1,118,/997/8/567/688/695/315/677/1058/,11AD83,,,f,119,1267762840,734881840,Visceral area layer 5
119,857,1097.0,Visceral area layer 6a,VISC6a,,1,3,8690,677.0,7,1,119,/997/8/567/688/695/315/677/857/,11AD83,,,f,120,1023764080,734881840,Visceral area layer 6a
120,849,1096.0,Visceral area layer 6b,VISC6b,,1,3,8690,677.0,7,1,120,/997/8/567/688/695/315/677/849/,11AD83,,,f,121,2752264138,734881840,Visceral area layer 6b
121,247,30.0,Auditory areas,AUD,,1,3,8690,315.0,6,1,121,/997/8/567/688/695/315/247/,019399,,,f,122,3638065128,734881840,Auditory areas
122,1011,833.0,Dorsal auditory area,AUDd,,1,3,8690,247.0,7,1,122,/997/8/567/688/695/315/247/1011/,019399,,,f,123,2633724239,734881840,Dorsal auditory area
123,527,631.0,Dorsal auditory area layer 1,AUDd1,,1,3,8690,1011.0,8,1,123,/997/8/567/688/695/315/247/1011/527/,019399,,,f,124,2852024941,734881840,Dorsal auditory area layer 1
124,600,923.0,Dorsal auditory area layer 2/3,AUDd2/3,,1,3,8690,1011.0,8,1,124,/997/8/567/688/695/315/247/1011/600/,019399,,,f,125,2148227545,734881840,Dorsal auditory area layer 2/3
125,678,650.0,Dorsal auditory area layer 4,AUDd4,,1,3,8690,1011.0,8,1,125,/997/8/567/688/695/315/247/1011/678/,019399,,,f,126,3650389730,734881840,Dorsal auditory area layer 4
126,252,738.0,Dorsal auditory area layer 5,AUDd5,,1,3,8690,1011.0,8,1,126,/997/8/567/688/695/315/247/1011/252/,019399,,,f,127,2928916084,734881840,Dorsal auditory area layer 5
127,156,1009.0,Dorsal auditory area layer 6a,AUDd6a,,1,3,8690,1011.0,8,1,127,/997/8/567/688/695/315/247/1011/156/,019399,,,f,128,2489109267,734881840,Dorsal auditory area layer 6a
128,243,1020.0,Dorsal auditory area layer 6b,AUDd6b,,1,3,8690,1011.0,8,1,128,/997/8/567/688/695/315/247/1011/243/,019399,,,f,129,223713961,734881840,Dorsal auditory area layer 6b
129,480149230,,Laterolateral anterior visual area,VISlla,,1,3,8690,1011.0,8,1,129,/997/8/567/688/695/315/247/1011/480149230/,019399,,,f,130,3171817402,734881840,Laterolateral anterior visual area
130,480149234,,Laterolateral anterior visual area layer 1,VISlla1,,1,3,8690,480149230.0,9,1,130,/997/8/567/688/695/315/247/1011/480149230/480149234/,019399,,,f,131,1340972930,734881840,Laterolateral anterior visual area layer 1
131,480149238,,Laterolateral anterior visual area layer 2/3,VISlla2/3,,1,3,8690,480149230.0,9,1,131,/997/8/567/688/695/315/247/1011/480149230/480149238/,019399,,,f,132,2270613036,734881840,Laterolateral anterior visual area layer 2/3
132,480149242,,Laterolateral anterior visual area layer 4,VISlla4,,1,3,8690,480149230.0,9,1,132,/997/8/567/688/695/315/247/1011/480149230/480149242/,019399,,,f,133,1065839373,734881840,Laterolateral anterior visual area layer 4
133,480149246,,Laterolateral anterior visual arealayer 5,VISlla5,,1,3,8690,480149230.0,9,1,133,/997/8/567/688/695/315/247/1011/480149230/480149246/,019399,,,f,134,3025467083,734881840,Laterolateral anterior visual arealayer 5
134,480149250,,Laterolateral anterior visual area layer 6a,VISlla6a,,1,3,8690,480149230.0,9,1,134,/997/8/567/688/695/315/247/1011/480149230/480149250/,019399,,,f,135,2752456471,734881840,Laterolateral anterior visual area layer 6a
